horizon,MAE,RMSE,MAPE,samples
1435,2.1606804736099274,2.8433719428648967,19.58282882757152,1842
1436,2.1604792687742997,2.843145358953305,19.581735789937866,1842
1437,2.160276870272828,2.8429178153319916,19.5806330675023,1842
1438,2.1600727048749104,2.8426882776431985,19.57951795657995,1842
1439,2.1598667047916056,2.84245662834704,19.578390031849548,1842
1440,2.159658775261683,2.842222836515187,19.577248047352494,1842
1441,2.159449348337,2.84198734901226,19.576095462584995,1842
1442,2.1592392734525605,2.8417508696872287,19.57493907573126,1842
1443,2.159029232148696,2.8415142936193916,19.573782950702316,1842
1444,2.158819475934658,2.8412780162224056,19.572628397092277,1842
1445,2.1586101385712015,2.841042250307094,19.571476105338657,1842
1446,2.1584013210126294,2.8408071259919345,19.570326674338812,1842
1447,2.1581932022380004,2.8405728980650022,19.56918110813327,1842
1448,2.1579857614023323,2.840339522551357,19.568039329610837,1842
1449,2.1577789937181,2.8401069496009983,19.56690143647044,1842
1450,2.157573087516704,2.8398753650439468,19.56576874218223,1842
1451,2.1573680313725228,2.8396446362016725,19.564641595471148,1842
1452,2.1571638671861164,2.8394146653543757,19.563520883407428,1842
1453,2.1569605773226637,2.839185343579159,19.562406942611535,1842
1454,2.156758065418375,2.838956558144262,19.561299229467743,1842
1455,2.1565560517248654,2.8387281460972074,19.560195278479807,1842
1456,2.156354444788973,2.838500063810528,19.559094236816833,1842
1457,2.1561530965113773,2.838272272390527,19.55799450527721,1842
1458,2.155951758519792,2.838044737470771,19.556893158157532,1842
1459,2.155750217887012,2.8378173473542603,19.555788362575363,1842
1460,2.1555480906832702,2.8375898133103763,19.554677094449367,1842
1461,2.155344585812059,2.8373610641896874,19.553554883532232,1842
